top,movie_name,mean_star,watcha_count,user_name,user_star,user_content
1,신명,2.2,741,probohemia,5,이게 진짜라면
1,신명,2.2,741,김덕수,3,조아요
1,신명,2.2,741,위대한 성운-(Nebula),3,허접했다가 좋았다가 하는걸 반복하는 복합적엔 영화넼ㅋ
1,신명,2.2,741,다솜땅,3,"어디까지 진실이고 어디까지가 사실일까? 소름돋는건 당연한거고... 비슷하게 풍겨나는 역사의 지난 날들 속에.. 그때 그 사건들이 진실일까.. 다시금 의심해 본다. 무속에 의한 희생들이라고..., 그걸로 다 일까? 이미 일어나 버린 일들, 그리고 또 일어날지 모르는 재해의 숲에 그걸 끼워맞추는 이야기일지, 아니변 우연의 하나일지, 다 알지 못한다. 그치만, 조금은 인위적임에 의심도......계속 읽기"
1,신명,2.2,741,진입금지,3,"현실과 관련된 영화 내용을 떠나서, 그 기간에 그 예산으로 만든것치고는 정말 잘만든 극영화다, 각본은 없는 셈치고, 촬영 연출은 정말 놀라울따름, 이게 되네,,,,?!
아무튼 윤건이는 깜빵으로ㄱㄱ"
2,너의 이름은,4.0,70.4%,영화 먹는 여우,4,"소중한 사람, 잊고 싶지 않은 사람, 잊으면 안 되는 사람
너의 이름은."
2,너의 이름은,4.0,70.4%,장제우스,4,너랑 같이 또 봐서 더 좋았어
2,너의 이름은,4.0,70.4%,콰이,4,주인공들의 이름은 기억에 안나는데 신카이 마코토의 이름은 각인되었다.
2,너의 이름은,4.0,70.4%,하추네,4,먹먹하구나
2,너의 이름은,4.0,70.4%,박준영,4,슬퍼... 서로를 기억한다는 건 대단한 거야. 근데 가슴 집착 좀 그만해.
3,릴리 슈슈의 모든 것,3.7,"99,443",꿀꽈배기,4,나도 어쩔 수 없는 에테르충임
3,릴리 슈슈의 모든 것,3.7,"99,443",앗차거,4,견딜 수 없는 고통에 몸부림치는 아이들
3,릴리 슈슈의 모든 것,3.7,"99,443",wonhe Lee,5,상처가 없는데  아프다 상처가 있는데 아프지않다. 성장하기 위해 마음을 죽여가는 청춘의 이야기. 마지막까지 모습을 보이지않은 릴리 슈슈의 음악은 그래서 더 공허하게 들린다.
3,릴리 슈슈의 모든 것,3.7,"99,443",우삼겹,3,다 좋은데 다 싫다..
3,릴리 슈슈의 모든 것,3.7,"99,443",seinsoshuir,5,나는 아주 유명한 이와이 슌지 악플런데 이상하게 릴리 슈슈는 너무 조음..
4,기쿠지로의 여름,3.7,"57,996",정원철,3,아름다운 배경과 대조되는 이야기
4,기쿠지로의 여름,3.7,"57,996",딸쥬밀,4,단 한 번도 자신을 채워보지 못했던 불량 깡통은 수 많은 밤을 견디며 제 계절을 보냇다 뿌리 없는 풀은 멀어지는 하늘을 바라보며 밤을 맞는다 깡통은 그 여름의 정중앙에 선 풀에게서 지나간 계절을 돌아보며 새소년의 오늘이 덜 가혹하길 바란다 이제 그 속을 양분으로 가득 채운 채 낮의 해보다 반짝이는......계속 읽기
4,기쿠지로의 여름,3.7,"57,996",movihee,4,가르쳐 주는 게 좋은 이유는 내가 다시 한번 생각할 수 있기 때문이다.
4,기쿠지로의 여름,3.7,"57,996",영화 먹는 여우,4,여름이 오면 생각나는 영화가 아니라 보고나면 여름이 오는 영화.
4,기쿠지로의 여름,3.7,"57,996",WatchaPedia,4,나의 아저씨.
5,드래곤 길들이기,3.9,"4,492",sojung,4,"드래곤 길들이기 1,2,3편을 모두 극장에서 관람했던 십여년 전의 나를 소환시킨 후, 투슬리스 머리맡에 손을 얹는 장면에서 느껴졌던 찌르르한 감정까지 고스란히 상기시킨다. 애니로 다가왔던 그 모든 귀여움과 씩씩함, 더불어 하늘을 가로지르며 활공하는 상상 속 기분까지 훌륭하게 담아낸 실사화의 모범적인 예."
5,드래곤 길들이기,3.9,"4,492",jujuP,3,기승전결의 기 가 너무 길어
5,드래곤 길들이기,3.9,"4,492",유진만,4,4D로 보자
5,드래곤 길들이기,3.9,"4,492",예비 작가 장시우,4,"모험의 설렘과 하늘을 가르는 속도감, 딱 꽂힌다."
5,드래곤 길들이기,3.9,"4,492",윤코를위한나라는없다,5,최고의 실사화
6,해피엔드,3.9,"15,397",ㅅㅇㅅ,5,이런 영화 안 좋아할 수가 없음
6,해피엔드,3.9,"15,397",seogu,4,영화는 이따금씩 청춘들과 거리를 확보한다. 영화가 그들을 사랑하는 방법인 것 같아 참 마음에 들었다.
6,해피엔드,3.9,"15,397",김한일,4,영원한 건 없구나 흑흑... 하면서 슬퍼하고 있으면 유타가 갑자기 코우 젖꼭지 찌르면서 응아니야그래도추억은영원해~......계속 읽기
6,해피엔드,3.9,"15,397",음정,4,"나는 미래에 내 친구들이 청첩장을 들고 찾아오는 날이 올까봐 두렵다 나랑 영원히 학생으로 살아줬음 좋겠는데
사랑한다고 말하면서 헤어졌던 육교에서 이제는 잘가라고만 말하고 뒤도는,, 영영 다시 안 볼 것 만 같은 두사람의 변화가 너무 속상하다
나는 친구가 영원했음 좋겠단말이다.."
